"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"JAK-STAT signaling pathway","4/162",0.0429339985304057,0.313521599437574,0,0,3.1533408107675,9.92700464737484,"IL11;CSF2;IL10RA;IL2RG"
"Hippo signaling pathway","4/163",0.0437471999215219,0.313521599437574,0,0,3.13334925563251,9.80527652548896,"CDH1;SERPINE1;BMP8A;BIRC3"
"Viral protein interaction with cytokine and cytokine receptor","3/100",0.0477283097674536,0.328370771200081,0,0,3.83991441353822,11.6819049803522,"CSF1;IL10RA;IL2RG"
"ABC transporters","2/45",0.0514535128508101,0.340384777320744,0,0,5.75436046511628,17.0736279505417,"ABCA1;ABCG1"
"Toxoplasmosis","3/112",0.0627958258560932,0.400032668416594,0,0,3.41509433962264,9.45252581454304,"LAMB3;IL10RA;BIRC3"
"Regulation of lipolysis in adipocytes","2/55",0.0732826167223276,0.438410810321839,0,0,4.66627358490566,12.194988010904,"MGLL;PTGS1"
"AMPK signaling pathway","3/120",0.0739181017403101,0.438410810321839,0,0,3.18029350104822,8.28402066224321,"PRKAB2;SCD;PPARGC1A"
"Viral carcinogenesis","4/203",0.0832513934753572,0.477307989258715,0,0,2.49844157496343,6.21085195569139,"H2BC12;H2BC5;H2BC11;H2BC4"
"Arachidonic acid metabolism","2/61",0.087558355501313,0.485807649878253,0,0,4.19046610169492,10.2056697785578,"PLA2G4C;PTGS1"
"Rap1 signaling pathway","4/210",0.0915134032464422,0.491884542449627,0,0,2.4126828069313,5.76937561488908,"MRAS;CSF1;CDH1;SKAP1"
"Adipocytokine signaling pathway","2/69",0.10773554477203,0.56153071820573,0,0,3.68861940298507,8.2185233108872,"PRKAB2;PPARGC1A"
"Thiamine metabolism","1/15",0.114884610162325,0.572733254519263,0,0,8.79503105590062,19.0309260537266,"ALPP"
"Phospholipase D signaling pathway","3/148",0.118890168758932,0.572733254519263,0,0,2.56252439817827,5.45703706414091,"MRAS;PLA2G4C;GAB2"
"Ras signaling pathway","4/232",0.119874402108683,0.572733254519263,0,0,2.17743726404619,4.61902103955692,"MRAS;CSF1;PLA2G4C;GAB2"
"Oxytocin signaling pathway","3/154",0.129603774373685,0.596225660493795,0,0,2.45995251780582,5.02635547659334,"RCAN1;PRKAB2;PLA2G4C"
"Synaptic vesicle cycle","2/78",0.131724273830025,0.596225660493795,0,0,3.25032894736842,6.58856101185556,"SLC6A9;SLC6A12"
"Steroid biosynthesis","1/20",0.150185210808816,0.610862173166792,0,0,6.47891467799935,12.2832836839006,"CYP24A1"
"PI3K-Akt signaling pathway","5/354",0.160586619159516,0.610862173166792,0,0,1.77842060117168,3.25259220483222,"CSF1;LAMB3;ITGA10;SGK1;IL2RG"
"GABAergic synapse","2/89",0.162473625877601,0.610862173166792,0,0,2.83778735632184,5.15693953950475,"SLC6A12;ABAT"
"Hypertrophic cardiomyopathy","2/90",0.165331320403986,0.610862173166792,0,0,2.80539772727273,5.04916553487396,"PRKAB2;ITGA10"
"Proximal tubule bicarbonate reclamation","1/23",0.170690218562696,0.610862173166792,0,0,5.59457933370977,9.89068451256785,"AQP1"
"Small cell lung cancer","2/92",0.171073039013051,0.610862173166792,0,0,2.74277777777778,4.84282586086508,"LAMB3;BIRC3"
"alpha-Linolenic acid metabolism","1/25",0.184086283159889,0.610862173166792,0,0,5.12784679089027,8.67811511154157,"PLA2G4C"
"Fc gamma R-mediated phagocytosis","2/97",0.185565917353226,0.610862173166792,0,0,2.59776315789474,4.37552967308972,"PLA2G4C;GAB2"
"Glycerophospholipid metabolism","2/98",0.188485759300925,0.610862173166792,0,0,2.57057291666667,4.28959939847362,"ACHE;PLA2G4C"
"Folate biosynthesis","1/26",0.190703446228601,0.610862173166792,0,0,4.92248447204969,8.15673247862825,"ALPP"
"Maturity onset diabetes of the young","1/26",0.190703446228601,0.610862173166792,0,0,4.92248447204969,8.15673247862825,"BHLHA15"
"Progesterone-mediated oocyte maturation","2/100",0.194344307827666,0.610862173166792,0,0,2.51785714285714,4.12456198860435,"RPS6KA2;CPEB2"
"Biosynthesis of unsaturated fatty acids","1/27",0.197267271877244,0.610862173166792,0,0,4.73291925465838,7.68245446519649,"SCD"
"Amoebiasis","2/102",0.2002260799381,0.610862173166792,0,0,2.46725,3.96809828596002,"CSF2;LAMB3"
"Longevity regulating pathway","2/102",0.2002260799381,0.610862173166792,0,0,2.46725,3.96809828596002,"PRKAB2;PPARGC1A"
"Butanoate metabolism","1/28",0.203778187366491,0.610862173166792,0,0,4.55739590522199,7.24955536851995,"ABAT"
"Transcriptional misregulation in cancer","3/192",0.2041034141117,0.610862173166792,0,0,1.96156533892383,3.11717934872954,"CSF2;BCL6;BIRC3"
"NF-kappa B signaling pathway","2/104",0.206128819356743,0.610862173166792,0,0,2.41862745098039,3.81962700137426,"TNFAIP3;BIRC3"
"Kaposi sarcoma-associated herpesvirus infection","3/193",0.206187290693119,0.610862173166792,0,0,1.95114200595829,3.08079536653138,"RCAN1;ZFP36;CSF2"
"Linoleic acid metabolism","1/29",0.210236616593166,0.610862173166792,0,0,4.3944099378882,6.85317737947657,"PLA2G4C"
"Glucagon signaling pathway","2/107",0.215017468497646,0.610862173166792,0,0,2.34916666666667,3.61075374918472,"PRKAB2;PPARGC1A"
"MAPK signaling pathway","4/294",0.215896451091799,0.610862173166792,0,0,1.70650371017023,2.61599574886789,"MRAS;CSF1;RPS6KA2;PLA2G4C"
"beta-Alanine metabolism","1/30",0.216642980018455,0.610862173166792,0,0,4.24266438209467,6.48917440750223,"ABAT"
"Focal adhesion","3/201",0.22302678896308,0.618719479058867,0,0,1.87154564513055,2.80818571360837,"LAMB3;ITGA10;BIRC3"
"Serotonergic synapse","2/113",0.232893382269007,0.635835900797924,0,0,2.22150900900901,3.23712631714617,"PLA2G4C;PTGS1"
"Propanoate metabolism","1/34",0.241756069015384,0.649719435478843,0,0,3.72764916243177,5.29261335049519,"ABAT"
"Lipid and atherosclerosis","3/215",0.253099394499478,0.652609493580514,0,0,1.74670701317195,2.39992828159578,"ABCA1;NCF2;ABCG1"
"Alanine, aspartate and glutamate metabolism","1/37",0.260064306855204,0.652609493580514,0,0,3.41649413388544,4.601424305313,"ABAT"
"Aldosterone-regulated sodium reabsorption","1/37",0.260064306855204,0.652609493580514,0,0,3.41649413388544,4.601424305313,"SGK1"
"Thyroid cancer","1/37",0.260064306855204,0.652609493580514,0,0,3.41649413388544,4.601424305313,"CDH1"
"Human T-cell leukemia virus 1 infection","3/219",0.261802645680555,0.652609493580514,0,0,1.71401118099231,2.29705662854823,"ZFP36;CSF2;IL2RG"
"Platelet activation","2/124",0.26585826810457,0.653251744485516,0,0,2.02008196721311,2.67618830603586,"PLA2G4C;PTGS1"
"Oocyte meiosis","2/129",0.280860891039983,0.666748475173929,0,0,1.94005905511811,2.46367281074247,"RPS6KA2;CPEB2"
"Bladder cancer","1/41",0.283793597911348,0.666748475173929,0,0,3.07422360248447,3.87200944542121,"CDH1"
