"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCN2",1686.90354606544,2.13724394134876,0.138341861707636,15.4490037575574,7.66185215151344e-54,3.1241202147796e-51
"F3",427.915198225511,2.14329002335856,0.138828009098887,15.4384553756144,9.02354721012657e-54,3.5975880110418e-51
"ITGB8",867.237658243212,4.55774340141768,0.298682196916813,15.2595080941067,1.42317124582161e-52,5.5506772437577e-50
"LOXL2",2786.11132045074,2.44039386808474,0.160079467958751,15.244889923757,1.78032736217836e-52,6.79592621379617e-50
"PPFIA4",909.09578316867,3.61590206792395,0.239116260487034,15.1219413542143,1.16069646401785e-51,4.33834484603006e-49
"HSPD1",23065.7788558023,-1.26258336290472,0.0837523847154092,-15.0751929893695,2.35825792619144e-51,8.63459294975521e-49
"CA9",454.925492593065,5.14280975198231,0.342064732179201,15.0346097337158,4.35607968031159e-51,1.5630485108894e-48
"TGFBI",14971.153109618,1.09765445012002,0.0734062152689006,14.9531541177965,1.48543640715626e-50,5.22553227074324e-48
"SGK1",194.277811716882,2.97985224285737,0.199740229415806,14.9186383312603,2.493091414714e-50,8.60164482141996e-48
"NTM",719.427094325406,2.64403926085494,0.177542653948408,14.8924171293692,3.69177729377485e-50,1.24970144203046e-47
"SLC1A5",50875.7580326853,-1.28599850812506,0.0880981544272935,-14.5973376682526,2.9202851169466e-48,9.70237690428498e-46
"AXL",4924.97475374323,1.46930115433921,0.100772285923565,14.5804090963428,3.74267189116351e-48,1.22085957089754e-45
"SYTL3",752.254158687803,2.23499180453316,0.153330487353607,14.576304054776,3.97459764082247e-48,1.2733617191785e-45
"HSP90AA1",83887.7046503201,-1.05046588551097,0.0721087508546516,-14.5678003440716,4.50153400451677e-48,1.41687757149185e-45
"CYP24A1",316.185968824331,2.98513821754634,0.206321402238273,14.4683885683314,1.91915822692625e-47,5.93648581884205e-45
"TTLL12",2546.18117053781,-1.54610716632637,0.107600781207001,-14.3689213868437,8.10842258948738e-47,2.4656476216609e-44
"PHLDA1",4479.23858482522,1.17307336991307,0.082104862228778,14.2875018369119,2.6183470382315e-46,7.82929403548521e-44
"EMP1",3753.93212955476,1.59785718257629,0.111878559427316,14.2820679025133,2.83075245382762e-46,8.32566061870841e-44
"DNAJB9",598.255075494155,1.82469081181291,0.12883745636381,14.1627354599455,1.55809032640903e-45,4.50866105582331e-43
"EDN2",371.356814611656,3.56079532664113,0.255774676279137,13.9216101392114,4.68235527358084e-44,1.33343072957641e-41
"COX6B2",170.365204274535,3.97499389074517,0.285740082419761,13.9112225946158,5.41459209994939e-44,1.51786245101862e-41
"LINC02940",320.362116988332,2.35766385600357,0.17139930780289,13.7553872662945,4.72742490513593e-43,1.30484200343144e-40
"NGFR",8798.71150248998,1.3535592023327,0.098963215230504,13.677397194301,1.38564395506339e-42,3.76664215118065e-40
"PIK3IP1",187.390928501414,2.72876882402861,0.199575317744238,13.6728772619348,1.47447612099301e-42,3.94829493831876e-40
"INSIG2",2581.22882682142,1.36972928068154,0.101268294922815,13.5257464513007,1.10219161075874e-41,2.90800289538567e-39
"OAF",795.893122512591,-1.47378100871324,0.108987573056374,-13.5224683639016,1.15243095452802e-41,2.99648750075176e-39
"SMIM14",588.96335067105,1.7533243052636,0.129909486701229,13.4965070664621,1.63967592939576e-41,4.20248940704132e-39
