"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"regulation of protein dephosphorylation (GO:0035304)","1/41",0.261228244193991,0.34507330216349,0,0,3.39263698630137,4.55414274631549,"PPP1R15A"
"positive regulation of biomineral tissue development (GO:0070169)","1/41",0.261228244193991,0.34507330216349,0,0,3.39263698630137,4.55414274631549,"CCN1"
"sensory perception of bitter taste (GO:0050913)","1/41",0.261228244193991,0.34507330216349,0,0,3.39263698630137,4.55414274631549,"CST1"
"keratinocyte differentiation (GO:0030216)","1/41",0.261228244193991,0.34507330216349,0,0,3.39263698630137,4.55414274631549,"ANXA1"
"T cell differentiation (GO:0030217)","1/41",0.261228244193991,0.34507330216349,0,0,3.39263698630137,4.55414274631549,"ANXA1"
"protein localization to plasma membrane (GO:0072659)","2/136",0.264079896137622,0.348194233425902,0,0,2.02974781266083,2.70261648866835,"EHD2;KCNIP3"
"cellular calcium ion homeostasis (GO:0006874)","2/136",0.264079896137622,0.348194233425902,0,0,2.02974781266083,2.70261648866835,"PKHD1;STC2"
"calcium ion transmembrane import into cytosol (GO:0097553)","1/42",0.266669362774435,0.349665904779737,0,0,3.30972268626796,4.37461182683189,"CCR7"
"nucleic acid-templated transcription (GO:0097659)","1/42",0.266669362774435,0.349665904779737,0,0,3.30972268626796,4.37461182683189,"PAX8"
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)","1/42",0.266669362774435,0.349665904779737,0,0,3.30972268626796,4.37461182683189,"CADM1"
"skeletal system morphogenesis (GO:0048705)","1/42",0.266669362774435,0.349665904779737,0,0,3.30972268626796,4.37461182683189,"CYP26B1"
"positive regulation of protein tyrosine kinase activity (GO:0061098)","1/42",0.266669362774435,0.349665904779737,0,0,3.30972268626796,4.37461182683189,"CASS4"
"monocyte chemotaxis (GO:0002548)","1/42",0.266669362774435,0.349665904779737,0,0,3.30972268626796,4.37461182683189,"ANXA1"
"regulation of cell-cell adhesion (GO:0022407)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"PKHD1"
"regulation of cell-substrate adhesion (GO:0010810)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"PKHD1"
"cellular response to glucose starvation (GO:0042149)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"BHLHA15"
"cellular response to retinoic acid (GO:0071300)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"AQP1"
"negative regulation of type I interferon production (GO:0032480)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"TNFAIP3"
"development of primary male sexual characteristics (GO:0046546)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"INHBA"
"glutathione metabolic process (GO:0006749)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"CHAC1"
"signal release from synapse (GO:0099643)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"SYT1"
"positive regulation of peptide hormone secretion (GO:0090277)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"TFR2"
"lipid modification (GO:0030258)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"PORCN"
"male gonad development (GO:0008584)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"INHBA"
"positive regulation of T cell differentiation (GO:0045582)","1/43",0.272070677618388,0.352849403395797,0,0,3.23075668623614,4.20545466276333,"BCL6"
"neuron projection morphogenesis (GO:0048812)","2/140",0.274971918328518,0.355963646999826,0,0,1.97051474262869,2.54410459150324,"LRP4;SGK1"
"protein localization to cell periphery (GO:1990778)","2/140",0.274971918328518,0.355963646999826,0,0,1.97051474262869,2.54410459150324,"EHD2;KCNIP3"
"negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)","1/44",0.277432477939827,0.356555820023749,0,0,3.1554635234151,4.04586495702591,"GPRC5A"
"neurotransmitter secretion (GO:0007269)","1/44",0.277432477939827,0.356555820023749,0,0,3.1554635234151,4.04586495702591,"SYT1"
"detection of chemical stimulus involved in sensory perception of taste (GO:0050912)","1/44",0.277432477939827,0.356555820023749,0,0,3.1554635234151,4.04586495702591,"CST1"
"positive regulation of cell-matrix adhesion (GO:0001954)","1/44",0.277432477939827,0.356555820023749,0,0,3.1554635234151,4.04586495702591,"CCR7"
"response to amyloid-beta (GO:1904645)","1/44",0.277432477939827,0.356555820023749,0,0,3.1554635234151,4.04586495702591,"CACNB1"
"hexose biosynthetic process (GO:0019319)","1/44",0.277432477939827,0.356555820023749,0,0,3.1554635234151,4.04586495702591,"AKR1B1"
"positive regulation of osteoblast differentiation (GO:0045669)","1/44",0.277432477939827,0.356555820023749,0,0,3.1554635234151,4.04586495702591,"CCN1"
"lymphocyte chemotaxis (GO:0048247)","1/44",0.277432477939827,0.356555820023749,0,0,3.1554635234151,4.04586495702591,"HSD3B7"
"amino acid transmembrane transport (GO:0003333)","1/45",0.282755050794453,0.362415114609632,0,0,3.08359277708593,3.89511515087238,"SLC22A4"
"regulation of receptor signaling pathway via JAK-STAT (GO:0046425)","1/45",0.282755050794453,0.362415114609632,0,0,3.08359277708593,3.89511515087238,"IL10RA"
